country,district,site,houseNumber,collectionMethod,total,totalAnopheles,totalOtherMosquitoes,maleAnopheles,anGambiaeUF,anGambiaeF,anGambiaeG,anFunestusUF,anFunestusF,anFunestusG,anOtherUF,anOtherF,anOtherG,CulexUF,CulexF,CulexG,AedesUF,AedesF,AedesG,MansoniaUF,MansoniaF,MansoniaG,AnFunestusMale,AnFunestusFemale,AnGambiaeMale,AnGambiaeFemale,AnOtherMale,AnOtherFemale,culexMale,culexFemale,aedesMale,aedesFemale,mansoniaMale,mansoniaFemale,peopleSlept,irsSprayed,monthsAgo,totalLLIN,llinType,llinBrand,peopleSleptUnderLlin,name,date,site code,health centre,parish,village,coded house number,Latitude,Longitude,House Type,Title of Officer
Uganda,Other,11.0,293.0,CDC Light Trap (LTC),1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,No,,0,Unknown,Unknown,,,2025-11-26 23:28:12+00:00,11.0,,,,,,,,Field Operations Team (FOT)
Uganda,Other,11.0,291.0,CDC Light Trap (LTC),3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,67,Yes,67.0,67,Pyrethroid + Chlorfenapyr,Interceptor G2,67.0,,2025-11-26 23:15:39+00:00,11.0,,,,,,,,Village Health Team (VHT)
Uganda,Other,11.0,276.0,Pyrethrum Spray Catch (PSC),2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes,2.0,2,Pyrethroid + Chlorfenapyr,Interceptor,2.0,,2025-09-23 11:17:46+00:00,11.0,,,,,,,,nxnx
Uganda,Other,11.0,275.0,Human Landing Catch (HLC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Yes,2.0,2,Pyrethroid + PBO,Interceptor,2.0,,2025-09-23 08:49:38+00:00,11.0,,,,,,,,vco
Uganda,Other,11.0,274.0,Pyrethrum Spray Catch (PSC),2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yes,8.0,3,Pyrethroid + PBO,Interceptor G2,2.0,,2025-09-23 09:16:54+00:00,11.0,,,,,,,,VCO
Uganda,Other,11.0,273.0,CDC Light Trap (LTC),5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,No,,0,Unknown,Unknown,,,2025-08-10 10:10:23+00:00,11.0,,,,,,,,Entomologist 
Uganda,Other,11.0,272.0,Pyrethrum Spray Catch (PSC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No,,1,Pyrethroid + Chlorfenapyr,Interceptor,1.0,,2025-08-22 09:17:56+00:00,11.0,,,,,,,,vht
Uganda,Other,11.0,271.0,Pyrethrum Spray Catch (PSC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yes,7.0,3,Pyrethroid Only,Royal Sentry 2.0,3.0,,2025-08-28 12:10:38+00:00,11.0,,,,,,,,vector control officer
Uganda,Other,11.0,270.0,Pyrethrum Spray Catch (PSC),3,3,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,Yes,12.0,1,Pyrethroid + PBO,PermaNet 3.0,2.0,,2025-08-20 10:08:48+00:00,11.0,,,,,,,,Entomologist
Uganda,Other,11.0,266.0,Human Landing Catch (HLC),2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,Yes,5.0,2,Pyrethroid + Chlorfenapyr,OLYSET Net,5.0,,2025-08-31 10:55:49+00:00,11.0,,,,,,,,hznz
Uganda,Other,11.0,264.0,Pyrethrum Spray Catch (PSC),7,7,0,7,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,59,Yes,9.0,1,Pyrethroid Only,PermaNet 2.0,2.0,,2025-08-28 12:49:17+00:00,11.0,,,,,,,,vector control officer 
Uganda,Other,11.0,265.0,Pyrethrum Spray Catch (PSC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-25 07:24:37+00:00,11.0,,,,,,,,Entomologist 
Uganda,Other,11.0,268.0,Pyrethrum Spray Catch (PSC),8,7,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,No,,0,Unknown,Unknown,,,2025-08-28 11:06:46+00:00,11.0,,,,,,,,erdf
Uganda,Other,11.0,269.0,Pyrethrum Spray Catch (PSC),4,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,Yes,10.0,2,Pyrethroid Only,PermaNet 2.0,3.0,,2025-08-28 13:31:37+00:00,11.0,,,,,,,,vector control officer 
Uganda,Other,11.0,262.0,Other,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:27:37+00:00,11.0,,,,,,,,Master
Uganda,Other,11.0,260.0,CDC Light Trap (LTC),4,4,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:27:41+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,258.0,CDC Light Trap (LTC),10,6,4,6,0,0,0,4,0,0,2,0,0,2,1,0,0,0,0,1,0,0,4,0,0,0,2,0,3,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,Student
Uganda,Other,11.0,254.0,CDC Light Trap (LTC),6,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,Rock Clmbr
Uganda,Other,11.0,253.0,CDC Light Trap (LTC),4,4,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:02:51+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,255.0,CDC Light Trap (LTC),7,7,0,7,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:03:10+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,256.0,CDC Light Trap (LTC),2,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:07:20+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,257.0,Other,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:21:32+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,259.0,Other,8,8,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:38:50+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,252.0,Other,8,8,0,8,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:15:15+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,251.0,CDC Light Trap (LTC),4,4,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:05:49+00:00,11.0,,,,,,,,DJ
Uganda,Other,11.0,250.0,Other,4,3,1,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:02:46+00:00,11.0,,,,,,,,big mama
Uganda,Other,11.0,249.0,CDC Light Trap (LTC),1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 10:03:13+00:00,11.0,,,,,,,,DJ
Uganda,Other,11.0,248.0,CDC Light Trap (LTC),4,4,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 21:00:00+00:00,11.0,,,,,,,,bossman
Uganda,Other,11.0,247.0,CDC Light Trap (LTC),12,1,11,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,1,0,0,0,6,0,0,0,4,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:18:09+00:00,11.0,,,,,,,,boss
Uganda,Other,11.0,246.0,CDC Light Trap (LTC),4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:23:52+00:00,11.0,,,,,,,,Engr
Uganda,Other,11.0,245.0,Other,4,1,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:18:26+00:00,11.0,,,,,,,,Judge
Uganda,Other,11.0,244.0,CDC Light Trap (LTC),8,8,0,8,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:08:59+00:00,11.0,,,,,,,,Dr
Uganda,Other,11.0,243.0,CDC Light Trap (LTC),11,8,3,8,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,6,0,0,0,0,0,2,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,Pokemon trainer
Uganda,Other,11.0,242.0,Other,6,4,2,4,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-17 09:03:19+00:00,11.0,,,,,,,,Elder
Uganda,Other,11.0,241.0,CDC Light Trap (LTC),9,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,Emperor
Uganda,Other,11.0,240.0,Other,8,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,maam
Uganda,Other,11.0,239.0,CDC Light Trap (LTC),12,4,8,4,1,0,0,2,1,0,0,0,0,6,0,0,0,0,0,2,0,0,3,0,1,0,0,0,6,0,0,0,2,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:48:11+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,238.0,Other,6,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,Colonel
Uganda,Other,11.0,237.0,CDC Light Trap (LTC),5,4,1,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,General
Uganda,Other,11.0,236.0,CDC Light Trap (LTC),1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,Captain
Uganda,Other,11.0,235.0,Other,8,8,0,8,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 21:00:00+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,223.0,CDC Light Trap (LTC),9,8,1,8,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:47:13+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,221.0,CDC Light Trap (LTC),6,6,0,6,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 11:23:47+00:00,11.0,,,,,,,,Student
Uganda,Other,11.0,222.0,Other,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:56:30+00:00,11.0,,,,,,,,missus
Uganda,Other,11.0,220.0,CDC Light Trap (LTC),103,1,102,1,1,0,0,0,0,0,0,0,0,26,2,0,0,0,0,65,6,0,0,0,1,0,0,0,28,0,0,0,71,0,0,No,,0,Unknown,Unknown,,,2025-08-16 10:41:33+00:00,11.0,,,,,,,,Engineer
Uganda,Other,11.0,219.0,Other,32,31,1,31,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 11:24:52+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,218.0,CDC Light Trap (LTC),1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 11:21:39+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,217.0,CDC Light Trap (LTC),1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 09:37:13+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,216.0,CDC Light Trap (LTC),9,9,0,9,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 09:13:49+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,215.0,CDC Light Trap (LTC),8,8,0,8,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:47:13+00:00,11.0,,,,,,,,Sgt
Uganda,Other,11.0,214.0,Other,7,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:50:23+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,213.0,Other,4,2,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:45:25+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,212.0,CDC Light Trap (LTC),2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:55:05+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,211.0,CDC Light Trap (LTC),19,18,1,18,2,0,0,0,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16,0,1,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:42:37+00:00,11.0,,,,,,,,cbid
Uganda,Other,11.0,206.0,CDC Light Trap (LTC),8,8,0,8,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:59:26+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,203.0,Other,17,10,7,10,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,10,0,0,0,0,0,7,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:31:35+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,202.0,CDC Light Trap (LTC),21,21,0,21,2,0,0,1,0,0,16,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,18,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:33:28+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,201.0,CDC Light Trap (LTC),24,22,2,22,2,0,0,0,0,0,18,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,20,0,1,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:07:36+00:00,11.0,,,,,,,,mistah
Uganda,Other,11.0,200.0,CDC Light Trap (LTC),5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:27:59+00:00,11.0,,,,,,,,cbid
Uganda,Other,11.0,199.0,CDC Light Trap (LTC),32,16,16,16,2,0,0,0,0,0,12,2,0,3,1,0,0,0,0,12,0,0,0,0,2,0,14,0,4,0,0,0,12,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:04:12+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,198.0,CDC Light Trap (LTC),44,36,8,36,2,0,0,0,0,0,28,6,0,0,0,0,0,0,0,6,2,0,0,0,2,0,34,0,0,0,0,0,8,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:59:59+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,197.0,CDC Light Trap (LTC),45,3,42,3,1,0,0,0,0,0,2,0,0,19,1,0,0,0,0,18,4,0,0,0,1,0,2,0,20,0,0,0,22,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:42:21+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,196.0,Other,86,2,84,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,67,16,0,2,0,0,0,0,0,1,0,0,0,83,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:14:49+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,195.0,Other,50,7,43,7,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,36,3,0,0,0,0,0,7,0,4,0,0,0,39,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:11:44+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,194.0,Other,109,8,101,8,0,0,0,1,0,0,6,1,0,6,0,0,0,0,0,75,20,0,1,0,0,0,7,0,6,0,0,0,95,0,0,No,,0,Unknown,Unknown,,,2025-08-15 09:14:47+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,193.0,CDC Light Trap (LTC),61,5,56,5,1,2,0,1,0,0,0,1,0,5,0,0,0,0,0,35,15,0,1,0,3,0,1,0,5,0,0,0,50,0,0,No,,0,Unknown,Unknown,,,2025-08-15 09:11:23+00:00,11.0,,,,,,,,mr
Uganda,Other,11.0,192.0,CDC Light Trap (LTC),52,8,44,8,0,1,0,0,0,0,7,0,0,6,0,0,0,0,0,25,13,0,0,0,1,0,7,0,6,0,0,0,38,0,0,No,,0,Unknown,Unknown,,,2025-08-15 09:11:01+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,191.0,Other,10,10,0,10,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:45:07+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,190.0,Other,27,22,5,22,9,4,0,8,1,0,0,0,0,4,0,0,0,0,0,1,0,0,9,0,13,0,0,0,4,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:00:12+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,187.0,Other,97,26,71,26,0,0,0,0,0,0,23,3,0,4,0,0,0,0,0,58,8,0,0,0,0,0,26,0,4,0,0,0,66,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:23:56+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,189.0,Other,7,2,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0,1,0,0,0,4,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:53:44+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,188.0,Other,16,4,12,4,0,0,0,0,0,0,4,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,4,0,9,0,0,0,3,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:46:54+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,186.0,Other,19,5,14,5,0,0,0,2,1,0,2,0,0,6,0,0,0,0,0,6,2,0,3,0,0,0,2,0,6,0,0,0,8,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:42:41+00:00,11.0,,,,,,,,student
